Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 The Last Samurai , Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton,452733,Action, Drama,N/A, $111.11M,UA
 Taken , Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser,615374,Action, Crime, Thriller, $145.00M,A
 Captain America: The Winter Soldier , Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford,868057,Action, Adventure, Sci-Fi, $259.77M,UA
 Captain Phillips , Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener,474099,Action, Biography, Crime, $107.10M,UA
 The Fugitive , Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,304988,Action, Crime, Drama, $183.88M,U
 Big Hero 6 , Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller,477655,Animation, Action, Adventure, $222.53M,U
 I Saw the Devil , Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun,137452,Action, Crime, Horror, $0.13M,Not Rated
 Thirteen Lives , Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman,60986,Action, Adventure, Biography,N/A,UA 16+
 Serenity , Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk,300478,Action, Adventure, Sci-Fi, $25.51M,PG-13
 The Fighter , Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo,377435,Action, Biography, Drama, $93.62M,UA
 How to Train Your Dragon 2 , Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,348266,Animation, Action, Adventure, $177.00M,U
 Ninja Scroll , Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka,38934,Animation, Action, Adventure,N/A,A
 The Chaser , Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong,69294,Action, Crime, Drama,N/A,N/A
 Aguirre the Wrath of God , Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro,59195,Action, Adventure, Biography,N/A,N/A
 Batman: Mask of the Phantasm , Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach,53631,Animation, Action, Adventure, $5.62M,PG
 Cowboy Bebop: The Movie , Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera,50734,Animation, Action, Crime, $1.00M,U
 The Killer , Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu,49623,Action, Crime, Drama,N/A,R
 Knockin' on Heaven's Door , Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu,32132,Action, Crime, Comedy, $0.00M,N/A
 Minnal Murali , Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju,31169,Action, Comedy, Drama,N/A,UA 16+
 Avatar: The Way of Water , Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,399494,Action, Adventure, Fantasy, $659.68M,UA
 Kingsman: The Secret Service , Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine,687825,Action, Adventure, Comedy, $128.26M,A
 Mission: Impossible - Fallout , Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg,345705,Action, Adventure, Thriller, $220.16M,U/A
 Black Hawk Down , Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana,407941,Action, Drama, History, $108.64M,A
 3:10 to Yuma , Russell Crowe, Christian Bale, Ben Foster, Logan Lerman,320771,Action, Crime, Drama, $53.61M,A
 The Longest Day , John Wayne, Robert Ryan, Richard Burton, Henry Fonda,57542,Action, Drama, History, $39.10M,U
 Training Day , Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger,450959,Action, Crime, Drama, $76.63M,A
 The Lego Movie , Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett,370450,Animation, Action, Adventure, $257.76M,U
 Man on Fire , Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell,372452,Action, Crime, Drama, $77.91M,UA
 X-Men: First Class , James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon,705506,Action, Sci-Fi,N/A, $146.41M,UA
 The Last of the Mohicans , Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig,177892,Action, Adventure, Drama, $75.51M,UA
