Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
158, Aguirre the Wrath of God , Werner Herzog ,N/A,N/A,N/A,N/A,N/A,95 min,-1972,7.8,N/A
159, Batman: Mask of the Phantasm , Eric Radomski, Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba, Bruce Timm ,76 min,-1993,7.8,65
160, Cowboy Bebop: The Movie , Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei ,N/A,N/A,115 min,-2001,7.8,61
161, The Killer , John Woo ,N/A,N/A,N/A,N/A,N/A,111 min,-1989,7.8,82
162, Knockin' on Heaven's Door , Thomas Jahn ,N/A,N/A,N/A,N/A,N/A,87 min,-1997,7.8,N/A
163, Minnal Murali , Basil Joseph ,N/A,N/A,N/A,N/A,N/A,158 min,-2021,7.8,N/A
164, Avatar: The Way of Water , James Cameron ,N/A,N/A,N/A,N/A,N/A,192 min,-2022,7.7,67
165, Kingsman: The Secret Service , Matthew Vaughn ,N/A,N/A,N/A,N/A,N/A,129 min,-2014,7.7,60
166, Mission: Impossible - Fallout , Christopher McQuarrie ,N/A,N/A,N/A,N/A,N/A,147 min,-2018,7.7,86
167, Black Hawk Down , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,144 min,-2001,7.7,74
168, 3:10 to Yuma , James Mangold ,N/A,N/A,N/A,N/A,N/A,122 min,-2007,7.7,76
169, The Longest Day , Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck ,N/A,178 min,-1962,7.7,75
170, Training Day , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,122 min,-2001,7.7,69
171, The Lego Movie , Phil Lord, Christopher Miller ,N/A,N/A,N/A,N/A,100 min,-2014,7.7,83
172, Man on Fire , Tony Scott ,N/A,N/A,N/A,N/A,N/A,146 min,-2004,7.7,47
173, X-Men: First Class , Matthew Vaughn ,N/A,N/A,N/A,N/A,N/A,131 min,-2011,7.7,65
174, The Last of the Mohicans , Michael Mann ,N/A,N/A,N/A,N/A,N/A,112 min,-1992,7.7,76
175, The Count of Monte Cristo , Kevin Reynolds ,N/A,N/A,N/A,N/A,N/A,131 min,-2002,7.7,61
176, The French Connection , William Friedkin ,N/A,N/A,N/A,N/A,N/A,104 min,-1971,7.7,94
177, First Blood , Ted Kotcheff ,N/A,N/A,N/A,N/A,N/A,93 min,-1982,7.7,61
178, The Magnificent Seven , John Sturges ,N/A,N/A,N/A,N/A,N/A,128 min,-1960,7.7,74
179, The Boondock Saints , Troy Duffy ,N/A,N/A,N/A,N/A,N/A,108 min,-1999,7.7,44
180, The Bourne Supremacy , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,108 min,-2004,7.7,73
181, The Dirty Dozen , Robert Aldrich ,N/A,N/A,N/A,N/A,N/A,150 min,-1967,7.7,73
182, Star Trek Into Darkness , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,132 min,-2013,7.7,72
183, Dirty Harry , Don Siegel, Clint Eastwood ,N/A,N/A,N/A,N/A,102 min,-1971,7.7,87
184, Kung Fu Hustle , Stephen Chow ,N/A,N/A,N/A,N/A,N/A,99 min,-2004,7.7,78
185, Star Trek II: The Wrath of Khan , Nicholas Meyer ,N/A,N/A,N/A,N/A,N/A,113 min,-1982,7.7,68
186, Goldfinger , Guy Hamilton ,N/A,N/A,N/A,N/A,N/A,110 min,-1964,7.7,87
187, Bonnie and Clyde , Arthur Penn ,N/A,N/A,N/A,N/A,N/A,111 min,-1967,7.7,86
188, Ponniyin Selvan: Part I , Mani Ratnam ,N/A,N/A,N/A,N/A,N/A,167 min,-2022,7.7,N/A
189, Badlands , Terrence Malick ,N/A,N/A,N/A,N/A,N/A,94 min,-1973,7.7,93
190, Run Lola Run , Tom Tykwer ,N/A,N/A,N/A,N/A,N/A,80 min,-1998,7.7,77
191, The Man from Nowhere , Jeong-beom Lee ,N/A,N/A,N/A,N/A,N/A,119 min,-2010,7.7,N/A
192, Kubo and the Two Strings , Travis Knight ,N/A,N/A,N/A,N/A,N/A,101 min,-2016,7.7,84
193, Scarface , Howard Hawks, Richard Rosson ,N/A,N/A,N/A,N/A,93 min,-1932,7.7,90
194, Hard Boiled , John Woo ,N/A,N/A,N/A,N/A,N/A,128 min,-1992,7.7,N/A
195, Key Largo , John Huston ,N/A,N/A,N/A,N/A,N/A,100 min,-1948,7.7,N/A
196, Joint Security Area , Park Chan-wook ,N/A,N/A,N/A,N/A,N/A,110 min,-2000,7.7,58
197, Dragon Ball Super: Broly , Tatsuya Nagamine ,N/A,N/A,N/A,N/A,N/A,100 min,-2018,7.7,59
198, Eega , S.S. Rajamouli ,N/A,N/A,N/A,N/A,N/A,145 min,-2012,7.7,N/A
199, Udta Punjab , Abhishek Chaubey ,N/A,N/A,N/A,N/A,N/A,148 min,-2016,7.7,N/A
200, Raazi , Meghna Gulzar ,N/A,N/A,N/A,N/A,N/A,138 min,-2018,7.7,N/A
201, Guardians of the Galaxy Vol, James Gunn ,N/A,N/A,N/A,N/A,N/A,136 min,-2017,7.6,67
202, The Fifth Element , Luc Besson ,N/A,N/A,N/A,N/A,N/A,126 min,-1997,7.6,52
203,300, Zack Snyder ,N/A,N/A,N/A,N/A,N/A,117 min,-2006,7.6,52
204, Sicario , Denis Villeneuve ,N/A,N/A,N/A,N/A,N/A,121 min,-2015,7.6,82
205, Kick-Ass , Matthew Vaughn ,N/A,N/A,N/A,N/A,N/A,117 min,-2010,7.6,66
206, Deadpool 2 , David Leitch ,N/A,N/A,N/A,N/A,N/A,119 min,-2018,7.6,66
207, Harry Potter and the Half-Blood Prince , David Yates ,N/A,N/A,N/A,N/A,N/A,153 min,-2009,7.6,78
208, Baby Driver , Edgar Wright ,N/A,N/A,N/A,N/A,N/A,113 min,-2017,7.6,86
209, Watchmen , Zack Snyder ,N/A,N/A,N/A,N/A,N/A,162 min,-2009,7.6,56
210, RoboCop , Paul Verhoeven ,N/A,N/A,N/A,N/A,N/A,102 min,-1987,7.6,70
211, Star Wars: Episode III - Revenge of the Sith , George Lucas ,N/A,N/A,N/A,N/A,N/A,140 min,-2005,7.6,68
212, Creed , Ryan Coogler ,N/A,N/A,N/A,N/A,N/A,133 min,(II) (2015),7.6,82
213, Train to Busan , Sang-ho Yeon ,N/A,N/A,N/A,N/A,N/A,118 min,-2016,7.6,73
214, Minority Report , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,145 min,-2002,7.6,80
215, Kung Fu Panda , Mark Osborne, John Stevenson ,N/A,N/A,N/A,N/A,92 min,-2008,7.6,74
216, Incredibles 2 , Brad Bird ,N/A,N/A,N/A,N/A,N/A,118 min,-2018,7.6,80
217, Zombieland , Ruben Fleischer ,N/A,N/A,N/A,N/A,N/A,88 min,-2009,7.6,73
218, Falling Down , Joel Schumacher ,N/A,N/A,N/A,N/A,N/A,113 min,-1993,7.6,56
219, The Road Warrior , George Miller ,N/A,N/A,N/A,N/A,N/A,96 min,-1981,7.6,77
220, Sherlock Holmes , Guy Ritchie ,N/A,N/A,N/A,N/A,N/A,128 min,-2009,7.6,57
221, Dawn of the Planet of the Apes , Matt Reeves ,N/A,N/A,N/A,N/A,N/A,130 min,-2014,7.6,79
222, The Raid: Redemption , Gareth Evans ,N/A,N/A,N/A,N/A,N/A,101 min,-2011,7.6,73
223, Lethal Weapon , Richard Donner ,N/A,N/A,N/A,N/A,N/A,109 min,-1987,7.6,68
224, Rise of the Planet of the Apes , Rupert Wyatt ,N/A,N/A,N/A,N/A,N/A,105 min,-2011,7.6,68
225, Only the Brave , Joseph Kosinski ,N/A,N/A,N/A,N/A,N/A,134 min,-2017,7.6,72
226, End of Watch , David Ayer ,N/A,N/A,N/A,N/A,N/A,109 min,-2012,7.6,68
227, Enter the Dragon , Robert Clouse ,N/A,N/A,N/A,N/A,N/A,102 min,-1973,7.6,83
228, Die Hard with a Vengeance , John McTiernan ,N/A,N/A,N/A,N/A,N/A,128 min,-1995,7.6,58
229, Where Eagles Dare , Brian G. Hutton ,N/A,N/A,N/A,N/A,N/A,158 min,-1968,7.6,63
230, Battle Royale , Kinji Fukasaku ,N/A,N/A,N/A,N/A,N/A,114 min,-2000,7.6,81
231, Star Trek: First Contact , Jonathan Frakes ,N/A,N/A,N/A,N/A,N/A,111 min,-1996,7.6,71
232, Hotel Mumbai , Anthony Maras ,N/A,N/A,N/A,N/A,N/A,123 min,-2018,7.6,62
233, Escape from Alcatraz , Don Siegel ,N/A,N/A,N/A,N/A,N/A,112 min,-1979,7.6,76
234, United 93 , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,111 min,-2006,7.6,90
235, The Taking of Pelham One Two Three , Joseph Sargent ,N/A,N/A,N/A,N/A,N/A,104 min,-1974,7.6,68
236, Vampire Hunter D: Bloodlust , Jack Fletcher, Yoshiaki Kawajiri ,N/A,N/A,N/A,N/A,103 min,-2000,7.6,62
237, Fearless , Ronny Yu ,N/A,N/A,N/A,N/A,N/A,104 min,-2006,7.6,70
238, Pushpa: The Rise - Part 1 , Sukumar ,N/A,N/A,N/A,N/A,N/A,179 min,-2021,7.6,N/A
239, Ludo , Anurag Basu ,N/A,N/A,N/A,N/A,N/A,149 min,-2020,7.6,N/A
240, Lupin III: The Castle of Cagliostro , Hayao Miyazaki ,N/A,N/A,N/A,N/A,N/A,102 min,-1979,7.6,72
241, Cell 211 , Daniel Monzón ,N/A,N/A,N/A,N/A,N/A,113 min,-2009,7.6,N/A
242, Evangelion: 1, Masayuki, Kazuya Tsurumaki, Hideaki Anno ,N/A,N/A,N/A,98 min,-2007,7.6,66
243, The Boy and the Beast , Mamoru Hosoda ,N/A,N/A,N/A,N/A,N/A,119 min,-2015,7.6,65
